Repository,Stars,Created At,Open Issues,Total Pull Requests,Total Releases,Language,Closed Issues
ruoyi-vue-pro,32992,2021-01-24T03:18:25Z,5,210,44,Java,649
Folo,32973,2024-04-08T03:23:35Z,213,1442,210,TypeScript,2059
openpose,32961,2017-04-24T14:06:31Z,358,262,15,C++,1667
ControlNet,32960,2023-02-01T02:43:30Z,454,44,0,Python,138
awesome-awesomeness,32825,2014-07-08T05:44:19Z,41,417,0,Ruby,52
ShadowsocksX-NG,32824,2016-06-10T11:49:00Z,313,119,30,Swift,1049
C-Plus-Plus,32732,2016-07-16T10:19:45Z,24,2604,0,C++,312
libpku,32729,2018-11-22T13:33:06Z,15,34,0,TeX,32
Reactive-Resume,32729,2020-03-25T14:08:22Z,345,782,95,TypeScript,1248
qBittorrent,32711,2012-02-04T09:37:46Z,2345,4862,0,C++,14567
detectron2,32645,2019-09-05T21:30:20Z,576,711,10,Python,3091
swc,32644,2017-12-22T11:40:14Z,433,6335,716,Rust,3579
pathway,32629,2022-11-27T13:01:14Z,45,12,76,Python,55
bulletproof-react,32591,2021-05-30T14:47:16Z,46,0,0,TypeScript,0
data-engineering-zoomcamp,32495,2021-10-21T09:32:50Z,3,0,0,Jupyter Notebook,0
pnpm,32484,2016-01-28T07:40:43Z,1967,0,1013,TypeScript,0
jq,32475,2012-07-18T19:57:25Z,445,0,15,C,0
agno,32439,2022-05-04T15:23:02Z,206,0,88,Python,0
certbot,32418,2014-11-12T02:52:20Z,175,0,62,Python,0
rufus,32417,2011-11-19T19:12:05Z,11,0,84,C,0
it-tools,32403,2020-04-05T11:50:24Z,719,0,10,Vue,0
drawdb,32401,2023-07-16T17:09:20Z,101,0,0,JavaScript,0
refine,32382,2021-01-20T12:01:32Z,53,0,1594,TypeScript,0
duckdb,32360,2018-06-26T15:04:45Z,527,0,51,C++,0
spaCy,32347,2014-07-03T15:15:40Z,200,0,129,Python,0
modern-unix,32323,2021-01-12T00:50:14Z,66,0,0,,0
Real-ESRGAN,32314,2021-07-19T03:23:30Z,608,0,10,Python,0
CyberChef,32305,2016-11-28T10:34:07Z,530,0,447,JavaScript,0
learnGitBranching,32290,2012-08-13T22:36:09Z,49,0,0,JavaScript,0
cherry-studio,32266,2024-05-24T01:56:26Z,627,0,193,TypeScript,0
material-design-lite,32263,2015-01-14T22:01:33Z,425,0,14,HTML,0
serenity,32251,2018-12-02T19:28:41Z,731,0,0,C++,0
tiptap,32243,2018-08-20T19:58:58Z,749,1743,899,TypeScript,2542
beego,32221,2012-02-29T02:32:08Z,20,2260,42,Go,3366
directus,32211,2012-12-12T01:35:36Z,340,9341,343,TypeScript,9067
chatbot-ui,32178,2023-03-11T14:53:14Z,225,758,0,TypeScript,817
my-tv,32147,2023-12-04T12:18:39Z,148,22,72,C,774
run,32109,2022-04-10T05:42:40Z,42,151,0,,214
tabby,32004,2023-03-16T09:18:01Z,257,3262,243,Rust,735
etcher,32004,2015-10-27T16:53:23Z,590,2086,289,TypeScript,1826
nacos,31993,2018-06-15T06:49:27Z,268,4417,84,Java,8911
GPT_API_free,31967,2023-04-23T12:42:08Z,30,7,0,Python,353
chatgpt-web,31940,2023-02-09T03:21:37Z,1,338,43,Vue,1747
vnpy,31922,2015-03-02T03:36:58Z,24,1512,64,Python,2110
yew,31905,2017-12-16T14:19:02Z,147,2316,35,Rust,1143
swr,31868,2019-10-28T18:16:01Z,177,975,123,TypeScript,817
v2ray-core,31849,2019-04-15T10:05:54Z,55,1355,111,Go,1002
awesome-php,31846,2013-11-26T03:14:19Z,71,0,0,,0
mpv,31844,2012-10-13T08:08:44Z,1009,0,87,C,0
WxJava,31811,2016-01-06T08:24:05Z,72,0,30,Java,0
claude-code,31805,2025-02-22T17:41:21Z,2850,0,0,TypeScript,0
android-open-project,31795,2014-01-05T15:20:15Z,27,0,0,,0
shardeum,31764,2024-04-16T22:37:25Z,84,0,0,TypeScript,0
fairseq,31752,2017-08-29T16:26:12Z,1342,0,16,Python,0
Hello-Python,31747,2022-08-03T17:14:53Z,24,0,0,Python,0
Retrieval-based-Voice-Conversion-WebUI,31699,2023-03-27T09:59:10Z,647,0,7,Python,0
go-zero,31695,2020-08-07T15:37:57Z,349,0,140,Go,0
graphql-engine,31672,2018-06-18T07:57:36Z,2367,0,294,TypeScript,0
floating-ui,31671,2016-03-29T17:00:47Z,33,0,497,TypeScript,0
pytorch-tutorial,31664,2017-03-10T07:41:47Z,89,0,0,Python,0
mmdetection,31618,2018-08-22T07:06:06Z,1934,0,53,Python,0
YesPlayMusic,31576,2020-10-09T10:04:21Z,610,0,31,Vue,0
remix,31561,2020-10-26T19:57:28Z,7,0,175,TypeScript,0
awesome-cto,31507,2016-12-16T19:22:18Z,0,0,0,,0
html2canvas,31498,2011-07-16T01:05:58Z,1038,0,45,TypeScript,0
echo,31457,2015-03-01T17:43:01Z,109,0,109,Go,0
vimrc,31452,2012-05-29T16:19:29Z,19,250,0,Vim Script,510
CasaOS,31437,2021-09-26T02:33:09Z,684,293,97,Go,880
rxjs,31433,2015-03-15T06:17:10Z,277,3910,2,TypeScript,2940
OpenCut,31376,2025-06-22T08:02:17Z,180,369,0,TypeScript,72
lottie-web,31373,2015-02-20T21:02:59Z,833,262,0,JavaScript,2125
servo,31362,2012-02-08T19:07:25Z,3135,24732,0,HTML,11061
MS-DOS,31357,2018-06-25T18:26:02Z,3,373,0,Assembly,0
xyflow,31302,2019-07-15T14:47:30Z,101,1730,350,TypeScript,2191
netron,31276,2010-12-26T12:53:43Z,21,259,3,JavaScript,1201
cockroach,31226,2014-02-06T00:18:47Z,7592,76570,0,Go,69477
backstage,31216,2020-01-24T22:39:49Z,477,22672,445,TypeScript,6707
cursor,31176,2023-03-12T00:19:42Z,2044,89,0,,1215
paper-reading,31160,2021-10-22T06:34:51Z,1,19,0,,0
mediapipe,31119,2019-06-13T19:16:41Z,592,559,63,C++,5035
linux-insides,31102,2015-01-03T18:44:57Z,39,655,0,Python,160
slate,31084,2016-06-18T01:52:42Z,692,0,205,TypeScript,0
dokku,31083,2013-06-08T10:26:57Z,63,0,303,Shell,0
Blog,31043,2017-03-13T10:04:33Z,266,0,0,,0
sharp,31039,2013-08-19T20:24:24Z,119,0,99,JavaScript,0
1Panel,30997,2022-07-19T15:44:52Z,629,0,96,Go,0
ink,30993,2017-06-12T06:12:28Z,84,0,64,TypeScript,0
OCRmyPDF,30989,2013-12-20T08:26:28Z,137,0,41,Python,0
dotfiles,30966,2011-09-05T18:07:54Z,185,0,0,Shell,0
MonitorControl,30963,2017-09-16T21:13:40Z,17,0,26,Swift,0
filebrowser,30953,2015-09-11T21:21:58Z,35,0,97,Go,0
lede,30942,2017-09-06T07:39:03Z,767,0,6,C,0
croc,30934,2017-10-17T15:20:18Z,12,0,175,Go,0
paperless-ngx,30925,2022-02-12T21:56:52Z,15,0,123,Python,0
Xray-core,30895,2020-11-09T11:23:10Z,25,0,90,Go,0
jQuery-File-Upload,30889,2010-12-01T15:35:32Z,52,0,0,PHP,0
minikube,30868,2016-04-15T22:38:35Z,550,0,151,Go,0
k9s,30865,2019-01-25T18:46:02Z,473,0,248,Go,0
khoj,30811,2021-08-16T01:48:44Z,82,0,159,Python,0
headscale,30797,2020-06-21T09:21:05Z,118,0,124,Go,0
kafka,30770,2011-08-15T18:06:16Z,255,0,0,Java,0
fish-shell,30760,2012-05-10T03:00:55Z,507,0,48,Rust,0
awesome-sysadmin,30756,2014-12-23T08:41:22Z,45,508,0,,88
editor.js,30738,2015-11-28T20:56:35Z,686,1163,102,TypeScript,922
textual,30737,2021-04-08T15:24:47Z,239,2520,185,Python,2078
p3c,30731,2017-06-23T06:15:51Z,186,137,0,Kotlin,697
interactive-coding-challenges,30701,2015-04-28T21:36:39Z,76,242,0,Python,32
Sortable,30693,2013-12-19T10:10:13Z,506,508,30,JavaScript,1344
comprehensive-rust,30646,2022-12-21T15:17:24Z,146,2438,0,Rust,235
k3s,30623,2018-05-31T01:37:46Z,149,4666,888,Go,6845
UTM,30619,2019-04-12T16:09:24Z,900,377,122,Swift,2543
server,30597,2016-06-02T07:44:14Z,2647,32802,352,PHP,17972
spring-boot-examples,30580,2016-11-05T05:32:33Z,17,54,0,Java,99
llm-app,30574,2023-07-19T08:43:37Z,6,62,0,Jupyter Notebook,12
calculator,30558,2019-01-28T17:55:49Z,419,1188,0,C++,718
Trilium,30553,2017-05-23T00:30:20Z,1116,818,335,TypeScript,3507
influxdb,30547,2013-09-26T14:31:10Z,2149,12267,94,Rust,11967
Data-Science-For-Beginners,30528,2021-03-03T16:30:15Z,35,0,0,Jupyter Notebook,0
exo,30527,2024-06-24T18:36:22Z,429,0,12,Python,0
symfony,30520,2010-01-04T14:21:21Z,847,0,555,PHP,0
diffusers,30518,2022-05-30T16:04:02Z,791,0,86,Python,0
gkd,30516,2023-07-04T03:59:15Z,13,0,53,Kotlin,0
jsPDF,30509,2009-12-06T14:56:32Z,118,0,36,JavaScript,0
CLIP,30468,2020-12-16T11:24:42Z,259,0,0,Jupyter Notebook,0
umami,30438,2020-07-17T07:59:00Z,107,0,99,TypeScript,0
medusa,30408,2020-01-18T13:39:04Z,129,0,129,TypeScript,0
weekly,30401,2017-03-20T06:10:04Z,3,0,193,JavaScript,0
rocksdb,30397,2012-11-30T06:16:18Z,1266,0,206,C++,0
webtorrent,30382,2013-10-15T08:16:40Z,78,0,228,JavaScript,0
lux,30356,2018-02-24T11:29:03Z,528,0,86,Go,0
fabric.js,30350,2010-06-09T22:24:38Z,451,0,175,TypeScript,0
layui,30337,2015-09-22T08:12:03Z,77,0,158,JavaScript,0
docsify,30334,2016-11-20T07:55:43Z,120,0,15,JavaScript,0
tqdm,30329,2015-06-03T13:13:14Z,568,0,131,Python,0
NeteaseCloudMusicApi,30315,2016-06-22T11:58:03Z,147,0,0,,0
GPTs,30288,2023-11-11T03:24:16Z,9,0,0,,21
dioxus,30270,2021-01-15T01:57:26Z,458,2065,25,Rust,1638
numpy,30261,2010-09-13T23:02:39Z,2346,16000,132,Python,11402
alpine,30246,2019-11-28T13:51:55Z,46,980,137,HTML,612
HEAD,30220,2016-04-20T20:05:37Z,28,154,0,,73
AI-Expert-Roadmap,30219,2020-10-24T21:49:40Z,23,18,0,JavaScript,46
CheatSheetSeries,30168,2018-12-21T14:26:43Z,59,1201,0,Python,492
uppy,30164,2015-11-16T12:32:33Z,173,3450,257,TypeScript,2293
roop,30161,2023-05-28T14:37:54Z,13,231,6,Python,0
sniffnet,30150,2022-07-31T21:55:56Z,49,600,14,Rust,239
sequelize,30141,2010-07-22T07:11:11Z,984,6833,487,TypeScript,9511
stanford_alpaca,30133,2023-03-10T23:33:09Z,188,49,0,Python,98
OpenAPI-Specification,30121,2014-03-03T16:53:36Z,154,2109,12,Markdown,2225
pytorch-lightning,30040,2019-03-31T00:45:57Z,978,10686,167,Python,6498
hutool,30019,2014-04-13T07:23:51Z,6,959,153,Java,2986
drizzle-orm,29993,2021-06-24T09:03:05Z,1728,1103,147,TypeScript,0
tinygrad,29959,2020-10-18T16:23:12Z,251,0,13,Python,0
surrealdb,29946,2021-12-09T15:03:29Z,716,0,92,Rust,0
particles.js,29922,2014-09-06T14:29:47Z,365,0,6,JavaScript,0
AdGuardHome,29880,2016-07-06T10:31:47Z,1185,0,214,Go,0
restic,29818,2014-04-27T14:07:58Z,495,0,48,Go,0
wails,29802,2018-12-15T23:14:06Z,290,0,243,Go,0
Hyprland,29791,2022-03-16T19:49:13Z,101,0,96,C++,0
leakcanary,29787,2015-04-29T23:54:16Z,136,0,43,Kotlin,0
DevToys,29781,2021-09-29T01:40:41Z,279,0,38,C#,0
foundation-sites,29771,2011-10-13T23:05:42Z,70,0,79,HTML,0
stb,29762,2014-05-25T16:51:23Z,353,0,0,C,0
awesome-python-cn,29755,2015-11-03T09:50:50Z,23,0,0,Makefile,0
awesome-macos-command-line,29755,2015-09-22T19:37:55Z,0,0,0,,0
folly,29717,2012-06-01T20:49:04Z,397,0,255,C++,0
cheerio,29714,2011-10-09T04:23:20Z,37,0,61,TypeScript,0
vue-vben-admin,29710,2020-07-11T02:29:21Z,144,0,60,Vue,0
vue-cli,29709,2015-12-26T23:11:20Z,1068,0,178,JavaScript,0
algo,29705,2016-05-15T03:42:48Z,78,0,3,Python,0
WSL,29671,2016-04-06T17:32:56Z,1021,186,94,C++,10730
glances,29667,2011-12-04T08:49:15Z,137,952,51,Python,1937
DeepFaceLive,29650,2020-12-15T12:19:22Z,1,24,35,Python,130
motion,29626,2018-11-16T09:48:38Z,300,1248,0,TypeScript,1570
Mr.-Ranedeer-AI-Tutor,29623,2023-03-31T12:37:26Z,13,28,3,,34
apollo,29622,2016-03-04T10:24:23Z,147,1768,41,Java,3212
firecracker,29617,2017-10-19T06:18:47Z,69,3855,79,Rust,1406
project-guidelines,29557,2017-06-30T10:17:55Z,16,128,0,JavaScript,29
react-boilerplate,29534,2015-02-18T14:36:32Z,130,1173,16,JavaScript,1823
LibreChat,29526,2023-02-12T01:06:52Z,258,2921,59,TypeScript,3150
500lines,29518,2013-11-04T02:02:53Z,58,232,0,JavaScript,41
mantine,29494,2021-01-07T14:02:19Z,34,1984,272,TypeScript,3224
phantomjs,29478,2010-12-27T08:18:58Z,14,1054,0,C++,4731
react-three-fiber,29435,2019-02-25T14:31:51Z,100,801,125,TypeScript,1042
django-rest-framework,29413,2011-03-02T17:13:56Z,98,4810,21,Python,3887
tokio,29413,2016-09-09T22:31:36Z,388,0,138,Rust,0
hey,29396,2022-03-19T15:01:46Z,0,0,0,TypeScript,0
Hover,29379,2014-01-02T14:27:35Z,42,0,10,SCSS,0
css-protips,29361,2015-08-29T12:29:03Z,6,0,0,,0
canal,29345,2013-01-13T10:59:52Z,1229,0,32,Java,0
standard,29342,2015-01-27T01:23:31Z,127,0,7,JavaScript,0
lighthouse,29304,2016-03-08T01:03:11Z,500,0,125,JavaScript,0
keycloak,29257,2013-07-02T13:38:51Z,2261,0,87,Java,0
consul,29251,2013-11-04T22:15:27Z,1350,0,217,Go,0
handson-ml2,29239,2019-01-08T03:49:07Z,230,0,0,Jupyter Notebook,0
xxl-job,29226,2015-11-28T12:59:34Z,334,0,39,Java,0
es6features,29196,2014-03-03T18:29:30Z,39,0,0,,0
zoxide,29195,2020-03-05T13:11:40Z,125,0,36,Rust,0
python-guide,29187,2011-03-15T03:24:20Z,126,0,0,Batchfile,0
viper,29157,2014-04-02T14:33:33Z,521,0,34,Go,0
TrackersListCollection,29156,2019-10-03T15:55:07Z,1,0,0,,0
Clone-Wars,29149,2020-12-02T11:10:16Z,23,0,0,,0
qlib,29116,2020-08-14T06:46:00Z,293,0,23,Python,0
tuning_playbook,29108,2023-01-18T23:32:32Z,13,0,0,,0
swift-algorithm-club,29096,2016-01-26T17:56:12Z,62,791,0,Swift,183
plyr,29096,2015-02-14T11:33:07Z,910,558,92,JavaScript,1221
composer,29093,2011-06-08T08:53:00Z,135,4098,215,PHP,7761
refined-github,29065,2016-02-15T16:45:02Z,132,3997,175,TypeScript,4387
COVID-19,29045,2020-02-04T22:03:53Z,1961,2768,0,,2078
llama3,28937,2024-03-15T17:57:00Z,212,99,0,Python,119
SpringAll,28935,2018-05-02T02:48:44Z,34,26,0,Java,27
Complete-Python-3-Bootcamp,28873,2018-02-12T19:30:10Z,253,269,0,Jupyter Notebook,225
react-spring,28866,2018-03-07T15:39:32Z,128,612,52,TypeScript,1143
postcss,28861,2013-09-24T23:06:48Z,28,922,268,TypeScript,998
todomvc,28827,2011-06-03T19:56:33Z,170,1361,6,JavaScript,661
dragonfly,28794,2021-12-11T10:00:42Z,296,3655,108,C++,1591
hosts,28759,2012-04-12T20:22:50Z,119,695,781,Python,1999
posthog,28737,2020-01-23T22:46:58Z,2345,29468,19,Python,5586
kitty,28729,2016-10-16T14:48:28Z,19,1450,128,Python,6271
spring-cloud-alibaba,28719,2017-12-01T20:49:15Z,233,0,48,Java,0
JavaScript30,28690,2016-12-07T19:15:31Z,63,0,0,HTML,0
os-tutorial,28681,2014-09-29T08:39:34Z,124,0,0,C,0
xstate,28651,2015-09-14T15:04:15Z,165,0,443,TypeScript,0
linkedin-skill-assessments-quizzes,28637,2019-07-13T19:52:56Z,85,0,1,,0
continue,28629,2023-05-24T03:39:39Z,795,0,419,TypeScript,0
slick,28619,2014-03-24T02:10:05Z,1376,0,48,JavaScript,0
k6,28618,2016-03-21T15:30:24Z,756,0,78,Go,0
Jobs_Applier_AI_Agent_AIHawk,28609,2024-08-04T12:15:06Z,11,0,0,Python,0
machine-learning-for-software-engineers,28583,2016-10-09T21:20:25Z,30,0,0,,0
ExplorerPatcher,28570,2021-08-09T14:17:24Z,277,0,288,C,0
immer,28568,2017-12-29T12:25:47Z,57,0,109,JavaScript,0
Avalonia,28551,2013-12-05T20:13:21Z,1774,0,110,C#,0
turborepo,28524,2021-10-05T17:37:11Z,162,0,497,Rust,0
openai-python,28511,2020-10-25T23:23:54Z,136,0,321,Python,0
rust-course,28501,2018-08-07T05:01:21Z,72,0,0,Rust,0
podman,28497,2017-11-01T15:01:27Z,879,0,228,Go,0
jumpserver,28493,2014-07-04T03:54:59Z,33,0,251,Python,0
data-science-ipython-notebooks,28490,2015-01-23T19:38:29Z,40,0,0,Python,0
programmer-job-blacklist,28459,2016-06-25T06:09:10Z,171,0,0,Shell,0
Sunshine,28434,2021-12-15T23:38:57Z,112,0,43,C++,986
vuex,28433,2015-07-16T04:21:26Z,143,980,51,JavaScript,1165
openssl,28416,2013-01-15T22:34:48Z,1591,15915,283,C,9452
helm,28400,2015-10-06T01:07:32Z,848,6071,216,Go,7682
tdesktop,28383,2014-05-02T12:36:31Z,919,2233,799,C++,14373
vscodium,28382,2018-08-13T14:26:58Z,131,648,240,Shell,1395
android_guides,28376,2013-06-19T10:24:45Z,164,22,0,,219
the-super-tiny-compiler,28340,2016-03-11T04:19:18Z,17,60,0,JavaScript,0
reverse-interview,28327,2019-09-08T13:38:40Z,24,104,0,,18
90DaysOfDevOps,28315,2021-12-26T13:55:18Z,10,405,2,Shell,80
applied-ml,28258,2020-07-04T18:57:47Z,2,229,0,,22
marker,28257,2023-10-30T20:14:08Z,307,278,64,Python,292
linera-protocol,28246,2021-12-19T04:09:21Z,543,3186,18,Rust,781
gitbook,28238,2014-03-31T03:01:56Z,67,1651,82,TypeScript,1884
async,28222,2010-06-01T21:01:30Z,10,874,7,JavaScript,1132
nginx-proxy-manager,28219,2017-12-20T23:01:16Z,986,769,77,JavaScript,0
druid,28186,2011-11-03T05:12:51Z,2289,0,51,Java,0
nginxconfig.io,28179,2018-01-05T14:21:14Z,61,0,0,JavaScript,0
dnSpy,28108,2015-07-01T16:05:10Z,185,0,1,C#,0
backbone,28103,2010-09-30T19:41:28Z,62,0,0,JavaScript,0
swagger-ui,28084,2011-07-15T22:56:39Z,1301,0,377,JavaScript,0
python-telegram-bot,28074,2015-07-07T15:30:39Z,26,0,127,Python,0
Python-programming-exercises,28071,2012-06-14T07:56:46Z,159,0,0,,0
trivy,28069,2019-04-11T01:01:07Z,208,0,171,Go,0
litellm,28068,2023-07-27T00:09:52Z,1130,0,992,Python,0
ChatGPT,28030,2022-12-03T14:35:24Z,11,0,277,Python,0
mobx,28019,2015-03-14T14:31:38Z,76,0,113,TypeScript,0
react-select,28010,2014-08-26T04:27:45Z,471,0,61,TypeScript,0
waifu2x,28006,2015-05-17T07:29:15Z,154,0,3,Lua,0
erpnext,27992,2011-06-08T08:20:56Z,2326,0,1599,Python,0
Charts,27938,2015-03-20T10:49:12Z,988,0,38,Swift,0
raylib,27927,2013-10-24T15:46:04Z,30,0,24,C,0
vhr,27922,2018-01-04T08:57:51Z,213,0,0,Java,0
yazi,27866,2023-07-08T11:45:55Z,54,0,27,Rust,0
create-t3-app,27858,2022-05-24T13:31:01Z,94,1398,138,TypeScript,675
nginx,27858,2015-06-23T10:26:27Z,283,384,8,C,172
Web,27856,2017-01-03T11:44:33Z,84,85,0,,156
headlessui,27855,2020-09-16T09:53:09Z,127,800,127,TypeScript,1287
python-fire,27853,2017-02-21T21:35:07Z,149,269,12,Python,207
ResumeSample,27823,2014-09-08T08:08:13Z,12,13,0,,0
context7,27818,2025-03-26T23:40:39Z,90,143,12,JavaScript,396
aos,27810,2015-07-09T17:49:00Z,374,142,0,JavaScript,360
WindTerm,27796,2019-10-09T19:56:09Z,2183,7,32,C,566
Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,27785,2013-01-14T15:46:28Z,205,313,0,Jupyter Notebook,90
EasyOCR,27773,2020-03-14T11:46:39Z,516,278,23,Python,607
redash,27703,2013-10-28T13:19:39Z,725,4346,100,Python,1956
flameshot,27668,2017-05-10T19:44:51Z,712,1202,30,C++,2106
yapi,27664,2016-05-30T09:09:09Z,1613,298,1,JavaScript,922
dspy,27644,2023-01-09T21:01:51Z,276,1689,97,Python,1089
srs,27595,2015-04-29T06:59:32Z,228,0,68,C++,0
