Repository,Stars,Created At,Open Issues,Total Pull Requests,Total Releases,Language,Closed Issues
expo,42734,2016-08-15T17:14:25Z,788,0,0,TypeScript,16608
MinerU,42627,2024-02-29T08:52:34Z,139,1155,121,Python,1557
nvm-windows,42583,2014-09-20T16:37:28Z,92,198,23,Go,849
ClickHouse,42564,2016-06-02T08:28:18Z,5174,60280,674,C++,20592
Made-With-ML,42512,2018-11-05T03:44:27Z,20,193,0,Jupyter Notebook,58
pm2,42492,2013-05-21T03:25:25Z,1069,912,128,JavaScript,4078
git-flight-rules,42432,2014-07-22T20:35:09Z,18,287,0,,55
TTS,42301,2020-05-20T15:45:28Z,7,761,98,Python,1185
what-happens-when,42225,2013-11-07T04:30:06Z,2078,2198,0,,54
Alamofire,42065,2014-07-31T05:56:19Z,50,1122,102,Swift,2759
ruff,42039,2022-08-09T17:17:44Z,1694,12349,377,Rust,5630
python-patterns,41996,2012-06-06T21:02:35Z,17,340,0,Python,83
CPlusPlusThings,41894,2019-07-14T08:45:45Z,16,123,0,C++,218
sentry,41830,2010-08-30T22:06:41Z,2495,81211,154,Python,13651
chinese-independent-developer,41795,2017-09-21T11:08:23Z,3,351,0,,201
spark,41776,2014-02-25T08:00:08Z,223,52098,0,Scala,0
Pake,41772,2022-10-14T09:32:57Z,21,0,32,JavaScript,0
airflow,41762,2015-04-13T18:04:58Z,1557,0,103,Python,0
iina,41699,2016-12-19T07:18:45Z,1817,0,45,Swift,0
freqtrade,41678,2017-05-17T23:48:53Z,44,0,100,Python,0
cobra,41661,2013-09-03T20:40:26Z,323,0,24,Go,0
EasySpider,41655,2020-07-18T02:41:27Z,235,0,10,JavaScript,0
stablediffusion,41633,2022-11-23T23:59:50Z,299,0,0,Python,0
kong,41627,2014-11-17T23:56:08Z,140,0,145,Lua,0
yarn,41560,2016-01-19T17:39:16Z,2074,0,152,JavaScript,0
tldraw,41485,2021-05-09T11:48:37Z,292,0,83,TypeScript,0
GitHubDaily,41445,2018-12-30T13:56:58Z,416,0,0,,0
diagrams,41385,2020-02-02T15:23:24Z,381,0,44,Python,0
swiper,41355,2012-03-14T19:11:45Z,235,0,87,JavaScript,0
ailearning,41324,2017-02-25T08:53:02Z,3,0,2,Python,0
dubbo,41259,2012-06-19T07:56:02Z,906,0,111,Java,0
bevy,41251,2020-01-18T21:13:55Z,2936,0,43,Rust,0
vue2-elm,41153,2016-12-23T01:49:20Z,119,0,0,Vue,0
jsoncrack.com,41140,2022-01-30T15:25:18Z,43,173,22,TypeScript,234
ColossalAI,41117,2021-10-28T16:19:44Z,475,4395,50,Python,1298
streamlit,41116,2019-08-24T00:14:52Z,1238,6759,106,Python,4319
ChatGLM-6B,41110,2023-03-13T12:00:18Z,599,121,0,Python,751
uni-app,41070,2018-07-12T08:52:39Z,733,668,0,JavaScript,4239
spotube,41067,2021-02-14T03:17:58Z,815,385,40,Dart,1082
nw.js,41058,2012-01-04T06:21:10Z,930,842,0,JavaScript,6477
